Edible?,Cap-shape,Cap-surface,Cap-color,Bruises?,Odor,Gill-attacment,Gill-spacing,Gill-size,Gill-color,Stalk-shape,Stalk-root,Stalk-surface-above-ring,Stalk-surface-below-ring,Stalk-color-above-ring,Stalk-color-below-ring,Veil-Type,Veil-Color,Ring-number,Ring-Type,Spore-print-color,Population,Habitat,Species
p,x,f,n,f,n,f,w,n,w,e,,s,s,n,n,p,w,o,e,w,y,l,Lepiota acutesquamosa
,f,y,c,,,,,,,,,f,f,,,,,,,,s,,Lepiota acutesquamosa
,k,,,,,,,,,,,,,,,,,,,,,,Lepiota acutesquamosa
e,k,s,p,t,n,f,c,b,w,e,,s,s,w,w,p,w,o,e,w,c,w,Lepiota americana
,x,y,c,,,,,,e,,,,,,,,,,,,y,,Lepiota americana
,f,,e,,,,,,,,,,,,,,,,,,,,Lepiota americana
,,,n,,,,,,,,,,,,,,,,,,,,Lepiota americana
,,,b,,,,,,,,,,,,,,,,,,,,Lepiota americana
p,x,f,w,f,n,f,c,n,w,e,,s,s,w,w,p,w,o,e,w,,d,Lepiota artodisca
,f,,,,,,,,,,,,,,,,,,,,,p,Lepiota artodisca
,k,,,,,,,,,,,,,,,,,,,,,,Lepiota artodisca
p,b,y,w,f,n,f,w,n,w,e,,s,s,w,w,p,w,o,p,w,c,w,Lepiota cepaestipes
,k,,y,,,,,,,,,,,y,y,,,,,,,d,Lepiota cepaestipes
,c,,,,,,,,,,,,,,,,,,,,,u,Lepiota cepaestipes
,f,,,,,,,,,,,,,,,,,,,,,,Lepiota cepaestipes
p,b,f,n,f,n,f,c,n,w,e,,k,y,w,y,p,w,o,e,w,s,d,Lepiota clypeolaria
,k,y,y,,,,,,,,,,,,n,,,,,,,,Lepiota clypeolaria
,x,,,,,,,,,,,,,,,,,,,,,,Lepiota clypeolaria
,f,,,,,,,,,,,,,,,,,,,,,,Lepiota clypeolaria
p,x,s,w,f,y,f,c,n,w,e,,k,k,w,w,p,w,o,e,w,s,d,Lepiota cristata
,f,y,,,f,,,,p,,,s,s,p,p,,,,,,,l,Lepiota cristata
,k,,,,p,,,,,,,,,,,,,,,,,g,Lepiota cristata
,,,,,s,,,,,,,,,,,,,,,,,p,Lepiota cristata
p,x,y,e,t,m,f,c,b,y,e,,k,y,c,c,p,w,o,n,w,y,d,Lepiota josserandi
,f,,n,,,a,,,w,,,,,,,,,,,,s,,Lepiota josserandi
,k,,c,,,,,,,,,,,,,,,,,,,,Lepiota josserandi
p,b,y,y,f,n,f,w,n,y,e,,s,s,y,y,p,y,o,e,w,,w,Lepiota lutea
,c,g,,,,,,,w,,,,,,,,,,,,,l,Lepiota lutea
,f,,,,,,,,,,,,,,,,,,,,,,Lepiota lutea
,k,,,,,,,,,,,,,,,,,,,,,,Lepiota lutea
p,x,s,g,f,,f,w,b,g,e,,s,s,w,w,o,w,o,z,w,s,g,Lepiota naucina
,k,y,w,,,,,,p,,,k,k,,,,,,,,c,,Lepiota naucina
,,f,,,,,,,w,,,f,f,,,,,,,,n,,Lepiota naucina
e,x,f,w,f,n,f,c,b,w,e,,y,y,w,w,p,w,o,z,w,y,d,Lepiota procera
,b,y,,,,,,,,,,,,,,,,,,,s,p,Lepiota procera
,f,,,,,,,,,,,,,,,,,,,,c,,Lepiota procera
,k,,,,,,,,,,,,,,,,,,,,,,Lepiota procera
e,x,s,p,t,n,f,c,b,w,e,,s,s,w,w,p,w,o,z,w,c,p,Lepiota rachodes
,f,f,g,,,,,,,,,,,,,,,,,,y,,Lepiota rachodes
,,,c,,,,,,,,,,,,,,,,,,s,,Lepiota rachodes
,,,n,,,,,,,,,,,,,,,,,,,,Lepiota rachodes
p,x,s,w,f,n,f,c,n,w,e,,k,k,w,w,p,w,o,p,w,y,w,Lepiota rubrotincta
,f,y,p,,,,,,,,,s,s,,,,,,,,s,d,Lepiota rubrotincta
,k,,,,,,,,,,,,,,,,,,,,c,l,Lepiota rubrotincta
e,x,s,w,t,a,f,c,n,w,t,b,s,s,w,w,p,w,o,p,u,c,d,Agaricus abruptibulbus
,f,f,,,l,,,,p,,,,,,,,,,,n,,,Agaricus abruptibulbus
,,,,,,,,,n,,,,,,,,,,,,,,Agaricus abruptibulbus
e,x,s,w,t,a,f,c,b,w,e,,s,s,w,w,p,w,o,f,k,n,m,Agaricus arvensis
,,y,,,l,,,,g,,,,,,,,,,p,n,s,g,Agaricus arvensis
,,,,,,,,,n,,,,,,,,,,,,,w,Agaricus arvensis
,,,,,,,,,k,,,,,,,,,,,,,,Agaricus arvensis
e,x,,y,t,a,f,c,b,w,e,,k,y,w,w,p,w,o,p,n,y,g,Agaricus augustus
,f,,n,,l,,,,p,,,,,,,,,,,,s,p,Agaricus augustus
,,,,,,,,,n,,,,,,,,,,,,,,Agaricus augustus
e,x,f,g,,,f,c,n,g,e,,s,s,w,w,p,w,o,f,k,y,u,Agaricus bitorquis
,f,,n,,,,,,p,,,,,,,,,,p,n,v,,Agaricus bitorquis
,s,,,,,,,,n,,,,,,,,,,,,,,Agaricus bitorquis
p,x,s,w,,p,f,c,n,w,e,,s,s,w,w,p,w,o,p,n,s,u,Agaricus californicus
,f,y,n,,,,,,p,,,,,,,,,,,,v,g,Agaricus californicus
,,,,,,,,,n,,,,,,,,,,,,,,Agaricus californicus
e,x,s,w,,,f,c,b,p,t,,s,s,w,w,p,w,o,e,k,s,g,Agaricus campestris
,f,f,g,,,,,,h,,,f,f,,,,,,,n,a,,Agaricus campestris
,,,n,,,,,,n,,,,,,,,,,,,,,Agaricus campestris
,,,,,,,,,k,,,,,,,,,,,,,,Agaricus campestris
