Cap-shape,Cap-surface,Cap-color,Bruises?,Odor,Gill-attacment,Gill-spacing,Gill-size,Gill-color,Stalk-shape,Stalk-root,Stalk-surface-above-ring,Stalk-surface-below-ring,Stalk-color-above-ring,Stalk-color-below-ring,Veil-Type,Veil-Color,Ring-number,Ring-Type,Spore-print-color,Population,Habitat,Species
b,f,n,f,n,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,u,Agaricus bitorquis
x,y,g,t,n,f,c,b,n,t,b,s,s,g,g,p,w,o,p,n,y,d,Agaricus haemorrhoidarius
k,y,n,f,y,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,p,Lepiota cristata
x,s,n,f,s,f,c,n,b,t,?,s,s,w,p,p,w,o,e,w,v,p,Lepiota cristata
x,y,g,f,f,f,c,b,g,e,b,k,k,p,n,p,w,o,l,h,v,d,Agaricus meleagris
k,s,e,f,s,f,c,n,b,t,?,s,s,p,p,p,w,o,e,w,v,d,Lepiota cristata
k,s,n,f,y,f,c,n,b,t,?,k,k,w,p,p,w,o,e,w,v,l,Lepiota cristata
f,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,u,Agaricus californicus
x,s,n,f,n,a,c,b,y,e,?,s,s,o,o,p,o,o,p,b,v,l,Lepiota rubrotincta
x,y,e,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,n,v,d,Agaricus haemorrhoidarius
f,y,n,t,n,f,c,b,e,e,?,s,s,w,w,p,w,t,e,w,c,w,Lepiota americana
x,y,n,t,a,f,c,b,p,e,r,s,y,w,w,p,w,o,p,k,s,g,Agaricus augustus
f,y,g,f,f,f,c,b,p,e,b,k,k,b,n,p,w,o,l,h,v,d,Agaricus meleagris
f,y,g,f,f,f,c,b,g,e,b,k,k,b,p,p,w,o,l,h,y,p,Agaricus meleagris
f,y,g,f,f,f,c,b,h,e,b,k,k,n,b,p,w,o,l,h,v,g,Agaricus meleagris
f,f,w,t,a,f,c,n,w,t,b,s,s,w,w,p,w,o,p,n,v,d,Agaricus abruptibulbus
k,y,w,t,n,f,w,n,w,e,b,s,s,w,w,p,w,o,p,w,n,l,Lepiota rubrotincta
f,f,g,f,f,f,c,b,h,e,b,k,k,b,p,p,w,o,l,h,y,d,Agaricus meleagris
k,y,n,f,y,f,c,n,b,t,?,s,k,p,p,p,w,o,e,w,v,p,Lepiota cristata
f,f,g,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,Agaricus campestris
f,s,n,f,n,a,c,b,y,e,?,s,s,o,o,p,o,o,p,n,v,l,Lepiota rubrotincta
f,f,y,f,f,f,c,b,g,e,b,k,k,n,p,p,w,o,l,h,y,d,Agaricus meleagris
f,f,w,f,n,f,w,b,n,t,e,f,s,w,w,p,w,o,e,k,s,g,Agaricus campestris
x,y,n,f,s,f,c,n,b,t,?,s,s,w,w,p,w,o,e,w,v,l,Lepiota cristata
f,y,n,t,n,f,c,b,p,t,b,s,s,g,p,p,w,o,p,n,y,d,Agaricus haemorrhoidarius
x,f,e,t,n,f,c,b,n,t,b,s,s,p,p,p,w,o,p,n,y,d,Agaricus haemorrhoidarius
x,f,n,t,n,f,c,b,w,t,b,s,s,g,g,p,w,o,p,n,y,d,Agaricus haemorrhoidarius
x,y,e,t,n,f,c,b,u,t,b,s,s,w,w,p,w,o,p,k,v,d,Agaricus haemorrhoidarius
b,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g,Agaricus arvensis
x,y,n,f,f,f,c,n,b,t,?,s,s,p,w,p,w,o,e,w,v,d,Lepiota cristata
f,y,g,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,k,v,d,Agaricus haemorrhoidarius
x,s,n,f,n,f,w,b,h,t,e,f,s,w,w,p,w,o,e,n,a,g,Agaricus campestris
f,s,n,f,n,a,c,b,y,e,?,s,s,o,o,p,o,o,p,b,v,l,Lepiota rubrotincta
f,f,n,f,n,f,w,b,h,t,e,f,f,w,w,p,w,o,e,n,a,g,Agaricus campestris
f,y,e,t,n,f,c,b,u,t,b,s,s,p,g,p,w,o,p,n,y,d,Agaricus haemorrhoidarius
