Edible,Cap_Shape,Cap_Surface,Cap-Color,Bruises,Odor,Gill_Attachment,Gill_Spacing,Gill_Size,Gill_Color,Stalk_Shape,Stalk_Root,Stalk_Surface_Above_Ring,Stalk_Surface_Below_Ring,Stalk_Color_Above_Ring,Stock_Color_Below_Ring,Veil_Type,Veil_Color,Ring_Number,Ring_Type,Spor_Print_Color,Population,Habitat,Genus,Species
p,x,f,n,f,n,f,w,n,w,e,?,s,s,n,n,p,w,o,e,w,y,l,Lepiota ,Acutesquamosa
,f,y,c,,,,,,,,,f,f,,,,,,,,s,,,
,k,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Lepiota ,Acutesquamosa
e,k,s,p,t,n,f,c,b,w,e,?,s,s,w,w,p,w,o,e,w,c,w,Lepiota,Americana
,x,y,c,,,,,,e,,,,,,,,,,,,y,,Lepiota,Americana
,f,,e,,,,,,,,,,,,,,,,,,,,,
,,,n,,,,,,,,,,,,,,,,,,,,,
,,,b,,,,,,,,,,,,,,,,,,,,Lepiota,Americana
p,x,f,w,f,n,f,c,n,w,e,?,s,s,w,w,p,w,o,e,w,,d,Lepiota,Artodisca
,f,,,,,,,,,,,,,,,,,,,,,p,,
,k,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,Lepiota,Artodisca
p,b,y,w,f,n,f,w,n,w,e,?,s,s,w,w,p,w,o,p,w,c,w,Lepiota,Cepaestipes
,k,,y,,,,,,,,,,,y,y,,,,,,,d,Lepiota,Cepaestipes
,c,,,,,,,,,,,,,,,,,,,,,u,Lepiota,Cepaestipes
,f,,,,,,,,,,,,,,,,,,,,,,Lepiota,Cepaestipes
p,b,f,n,f,n,f,c,n,w,e,?,k,y,w,y,p,w,o,e,w,s,d,Lepiota,Clypeolaria
,k,y,y,,,,,,,,,,,,n,,,,,,,,,Clypeolaria
,x,,,,,,,,,,,,,,,,,,,,,,,Clypeolaria
,f,,,,,,,,,,,,,,,,,,,,,,,Clypeolaria
p,x,s,w,f,y,f,c,n,w,e,?,k,k,w,w,p,w,o,e,w,s,d,Lepiota,Cristata
,f,y,,,f,,,,p,,,s,s,p,p,,,,,,,l,Lepiota,Cristata
,k,,,,p,,,,,,,,,,,,,,,,,g,,
,,,,,s,,,,,,,,,,,,,,,,,p,,
p,x,y,e,t,m,f,c,b,y,e,?,k,y,c,c,p,w,o,n,w,y,d,Lepiota,Josserandi
,f,,n,,,a,,,w,,,,,,,,,,,,s,,Lepiota,Josserandi
,k,,c,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
p,b,y,y,f,n,f,w,n,y,e,?,s,s,y,y,p,y,o,e,w,,w,Lepiota,Lutea
,c,g,,,,,,,w,,,,,,,,,,,,,l,,
,f,,,,,,,,,,,,,,,,,,,,,,,
,k,,,,,,,,,,,,,,,,,,,,,,,
p,x,s,g,f,,f,w,b,g,e,?,s,s,w,w,o,w,o,z,w,s,g,Lepiota,Naucina
,k,y,w,,,,,,p,,,k,k,,,,,,,,c,,,
,,f,,,,,,,w,,,f,f,,,,,,,,n,,,
,,,,,,,,,,,,,,,,,,,,,,,,
e,x,f,w,f,n,f,c,b,w,e,?,y,y,w,w,p,w,o,z,w,y,d,Lepiota,Procera
,b,y,,,,,,,,,,,,,,,,,,,s,p,,
,f,,,,,,,,,,,,,,,,,,,,c,,,
,k,,,,,,,,,,,,,,,,,,,,,,,
e,x,s,p,t,n,f,c,b,w,e,?,s,s,w,w,p,w,o,z,w,c,p,Lepiota,Rachodes
,f,f,g,,,,,,,,,,,,,,,,,,y,,,
,,,c,,,,,,,,,,,,,,,,,,s,,,
,,,n,,,,,,,,,,,,,,,,,,,,,
p,x,s,w,f,n,f,c,n,w,e,?,k,k,w,w,p,w,o,p,w,y,w,Lepiota,Rubrotincta
,f,y,p,,,,,,,,,s,s,,,,,,,,s,d,,
,k,,,,,,,,,,,,,,,,,,,,c,l,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
\,,,,,,,,,,,,,,,,,,,,,,,,
