Edible?,Cap-shape,Cap-surface,Cap-color,Bruises?,Odor,Gill-attacment,Gill-spacing,Gill-size,Gill-color,Stalk-shape,Stalk-root,Stalk-surface-above-ring,Stalk-surface-below-ring,Stalk-color-above-ring,Stalk-color-below-ring,Veil-Type,Veil-Color,Ring-number,Ring-Type,Spore-print-color,Population,Habitat,Species
e,f,s,n,,,f,c,b,k,t,,f,f,w,w,p,w,o,e,k,a,g,Agaricus campestris
e,x,s,g,,,f,c,b,p,t,,f,f,w,w,p,w,o,e,k,a,g,Agaricus campestris
e,x,s,n,,,f,c,b,h,t,,f,s,w,w,p,w,o,e,k,a,g,Agaricus campestris
e,f,f,n,,,f,c,b,h,t,,f,f,w,w,p,w,o,e,n,a,g,Agaricus campestris
e,f,s,g,,,f,c,b,p,t,,s,f,w,w,p,w,o,e,k,a,g,Agaricus campestris
e,f,f,w,,,f,c,b,p,t,,s,f,w,w,p,w,o,e,n,a,g,Agaricus campestris
e,f,s,w,,,f,c,b,n,t,,s,s,w,w,p,w,o,e,k,a,g,Agaricus campestris
e,x,f,w,,,f,c,b,h,t,,f,s,w,w,p,w,o,e,k,a,g,Agaricus campestris
e,f,s,w,,,f,c,b,p,t,,s,f,w,w,p,w,o,e,k,s,g,Agaricus campestris
e,x,f,n,,,f,c,b,h,t,,f,s,w,w,p,w,o,e,k,a,g,Agaricus campestris
e,x,s,g,,,f,c,b,p,t,,s,f,w,w,p,w,o,e,n,a,g,Agaricus campestris
e,x,s,g,,,f,c,b,k,t,,f,s,w,w,p,w,o,e,k,a,g,Agaricus campestris
e,f,f,g,,,f,c,b,n,t,,s,f,w,w,p,w,o,e,k,a,g,Agaricus campestris
e,f,f,g,,,f,c,b,k,t,,f,s,w,w,p,w,o,e,n,a,g,Agaricus campestris
e,x,s,g,,,f,c,b,h,t,,s,s,w,w,p,w,o,e,k,s,g,Agaricus campestris
e,x,f,n,,,f,c,b,p,t,,f,s,w,w,p,w,o,e,n,s,g,Agaricus campestris
e,f,s,w,,,f,c,b,p,t,,s,s,w,w,p,w,o,e,n,a,g,Agaricus campestris
e,f,f,w,,,f,c,b,h,t,,f,s,w,w,p,w,o,e,n,a,g,Agaricus campestris
e,x,s,n,,,f,c,b,p,t,,f,f,w,w,p,w,o,e,k,s,g,Agaricus campestris
e,f,s,g,,,f,c,b,h,t,,f,f,w,w,p,w,o,e,k,a,g,Agaricus campestris
e,f,f,n,,,f,c,b,k,t,,s,f,w,w,p,w,o,e,n,a,g,Agaricus campestris
e,f,f,g,,,f,c,b,n,t,,f,f,w,w,p,w,o,e,k,s,g,Agaricus campestris
e,f,s,g,,,f,c,b,k,t,,f,f,w,w,p,w,o,e,k,s,g,Agaricus campestris
e,f,s,w,,,f,c,b,p,t,,f,s,w,w,p,w,o,e,k,a,g,Agaricus campestris
e,f,s,g,,,f,c,b,k,t,,s,s,w,w,p,w,o,e,k,a,g,Agaricus campestris
e,f,f,g,t,,f,c,b,n,e,,k,y,g,g,p,w,o,p,n,v,d,Agaricus haemorrhoidarius
e,f,y,e,t,,f,c,b,p,e,,k,k,p,w,p,w,o,p,n,v,d,Agaricus haemorrhoidarius
e,f,y,g,t,,f,c,b,p,e,,y,k,w,w,p,w,o,p,n,y,d,Agaricus haemorrhoidarius
e,x,f,e,t,,f,c,b,u,e,,y,k,g,w,p,w,o,p,n,y,d,Agaricus haemorrhoidarius
e,f,f,e,t,,f,c,b,u,e,,y,k,w,p,p,w,o,p,n,s,d,Agaricus haemorrhoidarius
e,x,f,e,t,,f,c,b,u,e,,y,k,p,w,p,w,o,p,n,v,d,Agaricus haemorrhoidarius
e,x,y,g,t,,f,c,b,u,e,,k,y,w,g,p,w,o,p,n,s,d,Agaricus haemorrhoidarius
e,x,f,n,t,,f,c,b,w,e,,y,k,w,g,p,w,o,p,n,s,d,Agaricus haemorrhoidarius
e,x,f,e,t,,f,c,b,n,e,,y,y,w,w,p,w,o,p,n,y,d,Agaricus haemorrhoidarius
e,x,f,n,t,,f,c,b,p,e,,k,y,w,p,p,w,o,p,n,y,d,Agaricus haemorrhoidarius
e,x,y,g,t,,f,c,b,u,e,,k,k,p,p,p,w,o,p,n,s,d,Agaricus haemorrhoidarius
e,f,y,n,t,,f,c,b,p,e,,y,y,p,p,p,w,o,p,n,v,d,Agaricus haemorrhoidarius
e,f,y,g,t,,f,c,b,p,e,,k,y,p,g,p,w,o,p,n,y,d,Agaricus haemorrhoidarius
e,x,y,g,t,,f,c,b,p,e,,y,y,w,w,p,w,o,p,n,v,d,Agaricus haemorrhoidarius
e,x,f,n,t,,f,c,b,w,e,,k,k,w,g,p,w,o,p,n,y,d,Agaricus haemorrhoidarius
e,x,y,g,t,,f,c,b,u,e,,k,k,g,p,p,w,o,p,n,v,d,Agaricus haemorrhoidarius
e,f,y,e,t,,f,c,b,u,e,,y,y,p,p,p,w,o,p,n,s,d,Agaricus haemorrhoidarius
e,x,f,g,t,,f,c,b,p,e,,k,k,p,w,p,w,o,p,n,s,d,Agaricus haemorrhoidarius
e,f,f,e,t,,f,c,b,n,e,,k,k,g,g,p,w,o,p,n,s,d,Agaricus haemorrhoidarius
e,f,y,e,t,,f,c,b,w,e,,y,k,p,g,p,w,o,p,n,s,d,Agaricus haemorrhoidarius
e,x,y,n,t,,f,c,b,n,e,,y,y,g,p,p,w,o,p,n,s,d,Agaricus haemorrhoidarius
e,f,f,n,t,,f,c,b,w,e,,k,k,w,w,p,w,o,p,n,s,d,Agaricus haemorrhoidarius
